participant,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_8,race_9,race_10,race_11,race_12,race_13,race_14,race_15,race_16,race_17,race_18,race_19,race_20,race_21,race_22,race_23,race_24,race_25,race_26,race_27,race_28,race_29,race_30,race_31,race_32,race_33,race_34,race_35,race_36
Mike,35,7,16,22,8,43,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt,8,,,,5,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian,71,6,1,2,54,19,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom,8,6,97,12,54,45,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
