participant,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_8,race_9,race_10,race_11,race_12,race_13,race_14,race_15,race_16,race_17,race_18,race_19,race_20,race_21,race_22,race_23,race_24,race_25,race_26,race_27,race_28,race_29,race_30,race_31,race_32,race_33,race_34,race_35,race_36
Mike,51,7,38,19,48,5,60,77,54,71,6,43,1,3,17,45,8,41,88,9,21,23,20,22,11,10,4,2,16,42,99,34,47,35,24,12
Matt,23,12,1,77,5,4,11,45,54,8,2,17,24,19,43,88,9,6,71,16,20,10,21,48,3,60,7,41,42,22,,99,,47,34,38
Brian,12,99,17,19,24,16,22,6,48,23,77,54,21,9,8,34,42,2,88,71,3,5,7,4,60,47,11,20,38,43,1,45,41,10,35,51
Tom,2,48,88,12,77,5,21,23,11,6,24,20,17,1,54,9,43,22,71,16,19,8,,60,3,47,45,38,42,7,,41,99,10,4,34
